拍,時間,傳送位元,是否顯示動畫
1,01:09:53.419,0,NO
2,01:09:53.919,0,YES
3,01:09:54.419,1,NO
4,01:09:54.919,0,NO
5,01:09:55.419,0,NO
6,01:09:55.919,0,YES
7,01:09:56.419,1,NO
8,01:09:56.919,0,NO
9,01:09:57.419,0,YES
10,01:09:57.919,1,NO
11,01:09:58.419,0,NO
12,01:09:58.919,0,YES
13,01:09:59.419,1,NO
14,01:09:59.919,0,NO
15,01:10:00.419,0,NO
16,01:10:00.919,0,YES
17,01:10:01.419,1,NO
18,01:10:01.919,0,NO
19,01:10:02.419,0,NO
20,01:10:02.919,0,YES
21,01:10:03.419,1,NO
22,01:10:03.919,0,NO
23,01:10:04.419,0,YES
24,01:10:04.919,1,NO
25,01:10:05.419,0,NO
26,01:10:05.919,0,YES
27,01:10:06.419,1,NO
28,01:10:06.919,0,NO
29,01:10:07.419,0,NO
30,01:10:07.919,0,YES
31,01:10:08.419,1,NO
32,01:10:08.919,0,NO
33,01:10:09.419,0,YES
34,01:10:09.919,1,NO
35,01:10:10.419,0,NO
36,01:10:10.919,0,YES
37,01:10:11.419,1,NO
38,01:10:11.919,0,NO
39,01:10:12.419,0,NO
40,01:10:12.919,0,YES
41,01:10:13.419,1,NO
42,01:10:13.919,0,NO
43,01:10:14.419,0,YES
44,01:10:14.919,1,NO
45,01:10:15.419,0,NO
46,01:10:15.919,0,YES
47,01:10:16.419,1,NO
48,01:10:16.919,0,NO
49,01:10:17.419,0,NO
50,01:10:17.919,0,YES
51,01:10:18.419,1,NO
52,01:10:18.919,0,NO
53,01:10:19.419,0,YES
54,01:10:19.919,1,NO
55,01:10:20.419,0,NO
56,01:10:20.919,0,YES
57,01:10:21.419,1,NO
58,01:10:21.919,0,NO
59,01:10:22.419,0,NO
60,01:10:22.919,0,YES
61,01:10:23.419,1,NO
62,01:10:23.919,0,NO
63,01:10:24.419,0,YES
64,01:10:24.919,1,NO
65,01:10:25.419,0,NO
66,01:10:25.919,0,YES
67,01:10:26.419,1,NO
68,01:10:26.919,0,NO
69,01:10:27.419,0,NO
70,01:10:27.919,0,YES
71,01:10:28.419,1,NO
72,01:10:28.919,0,NO
73,01:10:29.419,0,YES
74,01:10:29.919,1,NO
75,01:10:30.419,0,NO
76,01:10:30.923,0,YES
77,01:10:31.419,1,NO
78,01:10:31.919,0,NO
79,01:10:32.419,0,NO
80,01:10:32.919,0,YES
81,01:10:33.419,1,NO
82,01:10:33.919,0,NO
83,01:10:34.419,0,YES
84,01:10:34.919,1,NO
85,01:10:35.423,0,NO
86,01:10:35.919,0,YES
87,01:10:36.419,1,NO
88,01:10:36.919,0,NO
89,01:10:37.419,0,NO
90,01:10:37.919,0,YES
91,01:10:38.419,1,NO
92,01:10:38.919,0,NO
93,01:10:39.419,0,YES
94,01:10:39.919,1,NO
95,01:10:40.419,0,NO
96,01:10:40.919,0,YES
97,01:10:41.419,1,NO
98,01:10:41.919,0,NO
99,01:10:42.419,0,NO
100,01:10:42.919,0,YES
101,01:10:43.419,1,NO
102,01:10:43.919,0,NO
103,01:10:44.419,0,YES
104,01:10:44.919,1,NO
